titulo|autores|isbn|calificacion_promedio
Harry Potter and the Half-Blood Prince (Harry Potter  #6)|J.K. Rowling-Mary GrandPré|0439785960|4.56
Harry Potter and the Order of the Phoenix (Harry Potter  #5)|J.K. Rowling-Mary GrandPré|0439358078|4.49
Harry Potter and the Sorcerer's Stone (Harry Potter  #1)|J.K. Rowling-Mary GrandPré|0439554934|4.47
Harry Potter and the Chamber of Secrets (Harry Potter  #2)|J.K. Rowling|0439554896|4.41
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3)|J.K. Rowling-Mary GrandPré|043965548X|4.55
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5)|J.K. Rowling-Mary GrandPré|0439682584|4.78
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation"|W. Frederick Zimmerman|0976540606|3.69
Harry Potter Collection (Harry Potter  #1-6)|J.K. Rowling|0439827604|4.73
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5)|Douglas Adams|0517226952|4.38
The Ultimate Hitchhiker's Guide to the Galaxy|Douglas Adams|0345453743|4.38
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1)|Douglas Adams|1400052920|4.22
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1)|Douglas Adams-Stephen Fry|0739322206|4.22
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5)|Douglas Adams|0517149257|4.38
A Short History of Nearly Everything|Bill Bryson-William Roberts|076790818X|4.2
Bill Bryson's African Diary|Bill Bryson|0767915062|3.43
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right|Bill Bryson|0767910435|3.88
In a Sunburned Country|Bill Bryson|0767903862|4.07
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away|Bill Bryson|076790382X|3.9
The Lost Continent: Travels in Small Town America|Bill Bryson|0060920084|3.83
Neither Here nor There: Travels in Europe|Bill Bryson|0380713802|3.87
Notes from a Small Island|Bill Bryson|0380727501|3.92
The Mother Tongue: English and How It Got That Way|Bill Bryson|0380715430|3.94
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings|J.R.R. Tolkien|0345538374|4.59
The Lord of the Rings (The Lord of the Rings  #1-3)|J.R.R. Tolkien|0618517650|4.49
The Lord of the Rings (The Lord of the Rings  #1-3)|J.R.R. Tolkien|0618346244|4.49
The Fellowship of the Ring (The Lord of the Rings  #1)|J.R.R. Tolkien|0618346252|4.35
The Lord of the Rings (The Lord of the Rings  #1-3)|J.R.R. Tolkien-Alan  Lee|0618260587|4.49
The Lord of the Rings: Weapons and Warfare|Chris   Smith-Christopher  Lee-Richard Taylor|0618391002|4.53
The Lord of the Rings: Complete Visual Companion|Jude Fisher|0618510826|4.5
The Lord of the Rings Box Set|J.R.R. Tolkien|0618153977|4.49
Cooking with Fernet Branca (Gerald Samper  #1)|James Hamilton-Paterson|193337201X|3.61
Agile Web Development with Rails: A Pragmatic Guide|Dave Thomas-David Heinemeier Hansson-Leon Breedt-Mike Clark-Thomas  Fuchs-Andreas  Schwarz|097669400X|3.89
Hatchet|Gary Paulsen|0689840926|3.7
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom"|Donna Ickes-Edward Sciranko-Keith Vasconcelles|1557344493|3.97
Guts: The True Stories behind Hatchet and the Brian Books|Gary Paulsen|0385326505|3.87
Molly Hatchet - 5 of the Best|Molly Hatchet|1575606240|4.33
Hatchet Jobs: Writings on Contemporary Fiction|Dale Peck|1595580271|3.48
A Changeling for All Seasons (Changeling Seasons #1)|Angela Knight-Sahara Kelly-Judy Mays-Marteeka Karland-Kate Douglas-Shelby Morgen-Lacey Savage-Kate Hill-Willa Okati|1595962808|3.75
Changeling (Changeling  #1)|Delia Sherman|0670059676|3.6
The Changeling Sea|Patricia A. McKillip|0141312629|4.07
The Changeling|Zilpha Keatley Snyder|0595321801|4.17
The Changeling|Kate Horsley|1590301943|3.56
The Changeling (Daughters of England  #15)|Philippa Carr|0449146979|3.99
The Known World|Edward P. Jones|0061159174|3.83
The Known World|Edward P. Jones-Kevin R. Free|006076273X|3.83
The Known World|Edward P. Jones|0060749911|3.83
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives|Satyajit Das|0273704745|3.83
Artesia: Adventures in the Known World|Mark Smylie|1932386106|4.16
The Known World|Edward P. Jones|096513671X|3.83
The John McPhee Reader (John McPhee Reader  #1)|John McPhee-William Howarth|0374517193|4.43
Uncommon Carriers|John McPhee|0374280398|3.95
Heirs of General Practice|John McPhee|0374519749|4.15
The Control of Nature|John McPhee|0374522596|4.24
Annals of the Former World|John McPhee|0374518734|4.33
Coming Into the Country|John McPhee|0374522871|4.22
La Place de la Concorde Suisse|John McPhee|0374519323|3.91
Giving Good Weight|John McPhee|0374516006|4.22
Rising from the Plains|John McPhee|0374520658|4.22
The Heidi Chronicles|Wendy Wasserstein|0822205106|3.73
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic|Wendy Wasserstein|0679734996|3.83
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening|Heidi Hayes Jacobs|1596670231|3.94
Simply Beautiful Beaded Jewelry|Heidi Boyd|1581807740|3.75
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth|Heidi Baker-Rolland Baker|0800793617|4.45
Mapping the Big Picture: Integrating Curriculum & Assessment K-12|Heidi Hayes Jacobs|0871202867|3.7
Heidi|Johanna Spyri-Beverly Cleary-Angelo  Rinaldi|0753454947|3.98
Getting Results with Curriculum Mapping|Heidi Hayes Jacobs|0871209993|3.28
There's Always Enough: The Miraculous Move of God in Mozambique|Rolland Baker-Heidi Baker|1852402873|4.45
What to Expect the First Year (What to Expect)|Heidi Murkoff-Sharon Mazel-Heidi Murkoff-Arlene Eisenberg-Sandee Hathaway-Mark D. Widome|0761129588|3.88
The Player's Handbook: The Ultimate Guide on Dating and Relationships|Heidi Fleiss-Libby Keatinge|0972016414|3.82
Simply Beautiful Beading: 53 Quick and Easy Projects|Heidi Boyd|1581805632|3.75
God Emperor of Dune (Dune Chronicles  #4)|Frank Herbert|0441294677|3.83
Chapterhouse: Dune (Dune Chronicles #6)|Frank Herbert|0441102670|3.9
Dune Messiah (Dune Chronicles #2)|Frank Herbert|0441172695|3.87
Dreamer of Dune: The Biography of Frank Herbert|Brian Herbert|0765306476|4.0
Heretics of Dune (Dune Chronicles  #5)|Frank Herbert|0399128980|3.85
The Road to Dune (Dune Universe)|Frank Herbert-Brian Herbert-Kevin J. Anderson|0765353709|3.87
Children of Dune (Dune Chronicles #3)|Frank Herbert|0441104029|3.92
Heretics of Dune (Dune Chronicles #5)|Frank Herbert|0441328008|3.85
The Power of One (The Power of One  #1)|Bryce Courtenay|034541005X|4.35
The Power of One (The Power of One  #1)|Bryce Courtenay|0385732546|4.35
The Power of One: One Person  One Rule  One Month|John C. Maxwell-Stephen R. Graves-Thomas G. Addington|0785260056|4.28
Power of an Hour: Business and Life Mastery in One Hour a Week|Dave Lakhani|0471780936|3.31
The Power of One: The Solo Play for Playwrights  Actors  and Directors|Louis E. Catron|0325001537|3.79
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days|Adam Ginsberg|006076287X|3.49
eBay for Dummies|Marsha Collier|0470045299|3.5
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond|Chris Malta-Lisa Suttora|0072262788|3.62
Starting an eBay Business for Dummies|Marsha Collier|0764569244|3.52
eBay: Top 100 Simplified Tips & Tricks|Julia Wilkinson|0471933821|4.27
ebay Timesaving Techniques for Dummies|Marsha Collier|0764559915|3.55
eBay Business All-in-One Desk Reference for Dummies|Marsha Collier|0764584383|3.89
Ruby Cookbook|Lucas Carlson-Leonard Richardson|0596523696|3.82
Ruby Ann's Down Home Trailer Park Cookbook|Ruby Ann Boxcar|0806523492|4.09
Ruby Ann's Down Home Trailer Park BBQin' Cookbook|Ruby Ann Boxcar|0806525363|4.08
Rails Cookbook: Recipes for Rapid Web Development with Ruby|Rob Orsini|0596527314|3.65
